timestamp|symbol|price|quantity|buyer_id|seller_id
14|ETH|2000.34|0.0366|8766b7c7-1990-41ad-bcf9-0ecf03bcac24|8766b7c7-1990-41ad-bcf9-0ecf03bcac24
22|BTC|70379.42|0.0074|3b434387-ffad-4abc-af56-38a64eb88924|6aa84689-8fd4-4a77-b050-116638d86e8d
24|DOGE|0.11|199.7063|6aa84689-8fd4-4a77-b050-116638d86e8d|6aa84689-8fd4-4a77-b050-116638d86e8d
26|DOGE|0.11|93.5153|6aa84689-8fd4-4a77-b050-116638d86e8d|6aa84689-8fd4-4a77-b050-116638d86e8d
28|BTC|75000.00|0.0262|3b434387-ffad-4abc-af56-38a64eb88924|3b434387-ffad-4abc-af56-38a64eb88924
36|SOL|79.67|0.3363|6aa84689-8fd4-4a77-b050-116638d86e8d|88dec5df-eb0d-4e95-9dfb-57e9ef01b128
36|ETH|2000.34|0.0409|8766b7c7-1990-41ad-bcf9-0ecf03bcac24|8766b7c7-1990-41ad-bcf9-0ecf03bcac24
38|DOGE|0.11|77.6152|88dec5df-eb0d-4e95-9dfb-57e9ef01b128|6aa84689-8fd4-4a77-b050-116638d86e8d
46|ETH|1900.49|0.0548|8766b7c7-1990-41ad-bcf9-0ecf03bcac24|88dec5df-eb0d-4e95-9dfb-57e9ef01b128
46|ETH|1900.49|0.0675|88dec5df-eb0d-4e95-9dfb-57e9ef01b128|88dec5df-eb0d-4e95-9dfb-57e9ef01b128
50|DOGE|0.10|79.6188|88dec5df-eb0d-4e95-9dfb-57e9ef01b128|8766b7c7-1990-41ad-bcf9-0ecf03bcac24
50|DOGE|0.10|151.2742|6aa84689-8fd4-4a77-b050-116638d86e8d|8766b7c7-1990-41ad-bcf9-0ecf03bcac24
54|SOL|79.67|0.2745|6aa84689-8fd4-4a77-b050-116638d86e8d|88dec5df-eb0d-4e95-9dfb-57e9ef01b128
56|SOL|79.67|0.1973|88dec5df-eb0d-4e95-9dfb-57e9ef01b128|88dec5df-eb0d-4e95-9dfb-57e9ef01b128
62|BTC|73703.80|0.0019|8766b7c7-1990-41ad-bcf9-0ecf03bcac24|88dec5df-eb0d-4e95-9dfb-57e9ef01b128
64|DOGE|0.11|100.1912|8766b7c7-1990-41ad-bcf9-0ecf03bcac24|6aa84689-8fd4-4a77-b050-116638d86e8d
64|DOGE|0.11|0.3559|6aa84689-8fd4-4a77-b050-116638d86e8d|6aa84689-8fd4-4a77-b050-116638d86e8d
64|DOGE|0.11|54.9625|88dec5df-eb0d-4e95-9dfb-57e9ef01b128|6aa84689-8fd4-4a77-b050-116638d86e8d
64|ETH|1845.23|0.0652|88dec5df-eb0d-4e95-9dfb-57e9ef01b128|88dec5df-eb0d-4e95-9dfb-57e9ef01b128
66|BTC|73703.80|0.0066|8766b7c7-1990-41ad-bcf9-0ecf03bcac24|88dec5df-eb0d-4e95-9dfb-57e9ef01b128
12|DOGE|0.11|240.4581|e24d06e4-6e7b-4adc-acaf-d21551071810|2255d9fc-b0de-430e-8817-fb3b0f52eaa8
12|DOGE|0.11|127.9442|008f0047-b347-46be-9dff-fe114f3a19a8|2255d9fc-b0de-430e-8817-fb3b0f52eaa8
12|DOGE|0.11|90.7592|008f0047-b347-46be-9dff-fe114f3a19a8|e24d06e4-6e7b-4adc-acaf-d21551071810
16|DOGE|0.11|200.5263|e24d06e4-6e7b-4adc-acaf-d21551071810|e24d06e4-6e7b-4adc-acaf-d21551071810
16|SOL|82.43|0.4721|008f0047-b347-46be-9dff-fe114f3a19a8|e24d06e4-6e7b-4adc-acaf-d21551071810
20|SOL|82.43|0.1867|008f0047-b347-46be-9dff-fe114f3a19a8|e24d06e4-6e7b-4adc-acaf-d21551071810
22|BTC|75000.00|0.0336|d41edfc4-aa1b-4938-ac13-e0deb89f5557|d41edfc4-aa1b-4938-ac13-e0deb89f5557
28|BTC|74522.78|0.0057|e24d06e4-6e7b-4adc-acaf-d21551071810|e24d06e4-6e7b-4adc-acaf-d21551071810
